file,label,en-US,cs-CZ,ru-RU,ja-JP
button.js,button.activate,Activate,Aktivovat,Активировать,アクティベート
button.js,button.add-new,Add new,Přidat,Добавить,新しく追加する
button.js,button.add-new-default-logger,Add new default logger,Přidat nový výchozí logger,Добавить новый по умолчанию регистратор,新しいデフォルトのロガーを追加
button.js,button.add-option,Add option,Přidat hodnotu nastavení,Добавить опцию,オプションを追加
button.js,button.autoscroll,Autoscroll,Automaticky posouvat,Автопрокрутка,自動スクロール
button.js,button.cancel,Cancel,Zrušit,Отмена,キャンセル
button.js,button.clear,Clear,Vyčistit,Очистить,クリア
button.js,button.clone-logger,Clone logger,Naklonovat logger,Клонировать регистратор,ロガーのクローン
button.js,button.close,Close,Zavřít,Закрыть,閉じる
button.js,button.confirm,Confirm,Potvrdit,Подтвердить,確認する
button.js,button.copy-last-error,Copy last error,Zkopírovat poslední chybu,Скопировать последнюю ошибку,最後のエラーをコピー
button.js,button.deactivate,Deactivate,Deaktivovat,Деактивировать,無効化
button.js,button.decrement-autostart,Decrement autostart,Snížít hodnotu automatického startu,Уменьшить значение автозапуска,自動開始を減らす
button.js,button.delete,Delete,Smazat,Удалить,削除する
button.js,button.disable,Disable,Zakázat,Отключить,無効にする
button.js,button.disable-autostart,Disable autostart,Zakázat automatický start,Отключить автозапуск,自動起動を無効にする
button.js,button.drag-to-move-around,Drag to move around,Táhněte pro pohyb,Перетащите для перемещения,ドラッグして移動します
button.js,button.edit,Edit,Upravit,Настроить,編集
button.js,button.edit-this-value,Edit this value,Upravit tuto hodnotu,Настроить это значение,この値を編集
button.js,button.enable,Enable,Povolit,Включить,有効にする
button.js,button.enable-autostart,Enable autostart,Povolit automatický start,Включить автозапуск,自動起動を有効にする
button.js,button.export-csv,Export CSV,Exportovat CSV,Экспорт CSV,CSVをエクスポート
button.js,button.hide-descriptions,Hide descriptions,Schovat popisy,Скрыть описания,説明を非表示
button.js,button.increment-autostart,Increment autostart,Zvýšit hodnotu automatického startu,Увеличить значение автозапуска,自動開始をインクリメント
button.js,button.item-has-alerts,"This item has alerts, click to view",Tato položka má poplachy. Klikněte pro zobrazení.,"Этот элемент имеет предупреждения, нажмите для просмотра",このアイテムにはアラートがあります。クリックして表示
button.js,button.loaded-click,"Loaded, click to unload","Načteno, klikněte pro odnačtení","Загружено, нажмите для отмены",ロード済み、クリックしてアンロード
button.js,button.opens-side-pane,Opens side pane with detailed item view,Otevře postranní náhled s detaily,Открывает боковую панель с деталями,詳細なアイテムビューでサイドペインを開きます
button.js,button.ping,Ping,Poslat ping,Отправить пинг,ping
button.js,button.remove-appender,Remove appender,Odebrat appender,Удалить вывод регистратора,アペンダーを削除
button.js,button.remove-this-value,Remove this value,Odebrat tuto hodnotu,Удалить это значение,この値を削除
button.js,button.reschedule,Reschedule,Přeplánovat,Перепланировать,再スケジュール
button.js,button.reset,Reset,Resetovat,Сброс,リセットする
button.js,button.reset-zoom,Reset zoom,Resetovat zoom,Сбросить масштаб,ズームをリセット
button.js,button.run,Run,Spustit,Запустить,走る
button.js,button.set-expiry,Set expiry,Nastavit vypršení,Установить срок действия,有効期限を設定
button.js,button.set-not-remote,Set as not remote,Nastavit jako lokální,Отметить как локальный,非リモートとして設定
button.js,button.set-remote,Set as remote,Nastavit jako vzdálený,Отметить как удаленный,リモートとして設定
button.js,button.settings,Settings,Nastavení,,設定
button.js,button.show-descriptions,Show descriptions,Ukázat popisy,Показать описания,説明を表示
button.js,button.show-grouped,Show grouped,Ukázat sloučené podle skupin,Показать сгруппированные,グループ化して表示
button.js,button.show-step-code,Show step code,Ukázat kód kroku,Показать код шага,ステップコードを表示
button.js,button.show-un-grouped,Show un-grouped,Ukázat nesloučené podle skupin,Показать без группировки,グループ化されていないものを表示
button.js,button.submit,Submit,Uložit,Отправить,提出する
button.js,button.unloaded-click,"Unloaded, click to load","Nenačteno, klikněte pro načtení","Не загружено, нажмите для загрузки",アンロード、クリックしてロード
button.js,button.update,Update,Uložit,Обновить,更新
button.js,button.use-scrollbars,Use scrollbars,Používat posuvníky,Использовать полосы прокрутки,スクロールバーを使用する
button.js,button.use-drag-to-move,Use drag to move,Používat hýbaní pomocí tažení,Использовать перетаскивание,ドラッグして移動する
button.js,button.view-alerts,View alerts,Zobrazit poplachy,Показать предупреждения,アラートを表示
button.js,button.view-contents,View contents,Zobrazit obsah,Показать содержание,内容を見る
button.js,button.zoom-in,Zoom in,Přiblížit,,ズームイン
button.js,button.zoom-out,Zoom out,Oddálit,,ズームアウトする
cluster.js,cluster.client-id,Client ID,Klientské ID,,クライアントID
cluster.js,cluster.cluster,Cluster,Cluster,,集まる
cluster.js,cluster.cluster-memory,Cluster memory,Paměť clusteru,,クラスターメモリ
cluster.js,cluster.count-of-processes,# of processes,Počet procesů,,プロセス数
cluster.js,cluster.hostname,Hostname,Hostname,,ホスト名
cluster.js,cluster.kill,Kill,Ukončit,,殺します
cluster.js,cluster.memory,Memory,Paměť,,記憶
cluster.js,cluster.node,Node,Uzel,,ノード
cluster.js,cluster.node-memory,Node memory,Paměť uzlu,,ノードメモリ
cluster.js,cluster.nodes,Nodes,Uzlů,,ノード
cluster.js,cluster.pid,PID,PID,,PID
cluster.js,cluster.processes,Processes,Procesů,,プロセス
cluster.js,cluster.status,Status,Stav,,状態
component.js,classes,classes,třídy,,クラス
component.js,code,code,kód,,コード
component.js,constants,constants,konstanty,,定数
component.js,functions,functions,funkce,,機能
component.js,methods,methods,metody,,方法
component.js,Step code,Step code,Kód kroků,,ステップコード
component.js,WF Functions,WF Functions,Funkce PP,,WF関数
component.js,component.alerts,Alerts,Poplachy,,アラート
component.js,component.appenders,Appenders,Appendery,,アペンダー
component.js,component.controls,Controls,Ovládání,,コントロール
component.js,component.groups,Groups,Skupiny,,グループ
component.js,component.input,Input,Vstup,,入力
component.js,component.instances,Instances,Instance,,インスタンス
component.js,component.interface-using-def-logger,This interface is using default logger.,Tato jednotka používá základní logger.,,このインターフェースはデフォルトのロガーを使用しています。
component.js,component.logger,Logger,Logger,,ロガー
component.js,component.no-data,No data,Žádná data,,データなし
component.js,component.no-logger-defined-for-res,There is no logger defined for {resource}. Use the buttons above to create a default logger,"Pro jednotku ""{resource}"" není definován žádný logger. Použijte tlačítka nahoře pro vytvoření základního loggeru",,{resource}に対してロガーが定義されていません。上のボタンを使用して、デフォルトのロガーを作成します
component.js,component.no-logger-defined-for-res-2,or concrete loggers for this interface,nebo specifického loggeru pro tuto jednotku,,またはこのインターフェイスの具体的なロガー
component.js,component.options,Options,Nastavení,,オプション
component.js,component.output,Output,Výstup,,出力
component.js,component.please-select-item,Please select an item from the list.,"Prosím, vyberte položku ze seznamu.",,リストからアイテムを選択してください。
component.js,component.schedule,Schedule,Plán,,スケジュール
component.js,component.search,Search...,Hledat...,,調べる...
component.js,component.sla,SLA,SLA,,SLA
component.js,component.there-are-no-data,There is no data to be displayed.,Chybějí data k zobrazení.,,表示するデータはありません。
component.js,component.to-search-log,to search the log,k prohledání záznamu,,ログを検索する
component.js,component.use,Use,Použijte,,つかいます
dashboard.js,dashboard.cluster,Cluster,Cluster,,集まる
dashboard.js,dashboard.cpu-cores,CPU cores,CPU jader,,CPUコア
dashboard.js,dashboard.cpu-load,CPU load,Zátěž CPU,,CPU負荷
dashboard.js,dashboard.datasource,Datasource,Zdroje dat,,情報元
dashboard.js,dashboard.health,Health,Zdraví,,健康
dashboard.js,dashboard.instance,Instance,Instance,,インスタンス
dashboard.js,dashboard.interfaces,Interfaces,Jednotky,,インターフェース
dashboard.js,dashboard.key,Key,Klíč,,キー
dashboard.js,dashboard.memory,Memory,Paměť,,記憶
dashboard.js,dashboard.node-cpu-load,Node CPU load,Zátěž CPU uzlů,,ノードのCPU負荷
dashboard.js,dashboard.node-memory-progression,Node Memory Progression,Využití paměti uzlů,,ノードメモリの進行
dashboard.js,dashboard.node-process-count-history,Node Process Count History,Počet procesů na uzlech,,ノードプロセス数の履歴
dashboard.js,dashboard.nodes,Node(s),Uzly,,ノード
dashboard.js,dashboard.ongoing-alerts,Ongoing alerts,Trvající poplachy,,継続的なアラート
dashboard.js,dashboard.processes,Processes,Procesy,,プロセス
dashboard.js,dashboard.processes-lc,processes,procesy,,プロセス
dashboard.js,dashboard.processes-gt-4,Processes,Procesů,,プロセス
dashboard.js,dashboard.processes-gt-4-lc,processes,procesů,,プロセス
dashboard.js,dashboard.ram-used-by-qorus,RAM used by Qorus,RAM užívaná Qorusem,,Qorusが使用するRAM
dashboard.js,dashboard.remote-instances,Remote Instances,Vzdálené instance,,リモートインスタンス
dashboard.js,dashboard.running-processes,Running processes,Běžící procesy,,実行中のプロセス
dashboard.js,dashboard.system-overview,System Overview,Přehled systému,,システム概要
dashboard.js,dashboard.total-node-ram,Total node RAM,Celá RAM uzlu,,合計ノードRAM
dashboard.js,dashboard.total-ram,total RAM,RAM celkem,,総RAM
dashboard.js,dashboard.total-ram-used,Total RAM used,Kompletní použitá RAM,,使用される合計RAM
dashboard.js,dashboard.transient-alerts,Transient alerts,Proběhlé poplachy,,一時的なアラート
dashboard.js,dashboard.with-alerts,With alerts,S poplachy,,アラートあり
datetime.js,datetime.24h,24H,24h,,24時間
datetime.js,datetime.30-days,30 days,30 dní,,30日間
datetime.js,datetime.all,All,Vše,,すべて
datetime.js,datetime.apply,Apply,Použít,,適用する
datetime.js,datetime.now,Now,Teď,,いま
datetime.js,datetime.reset,Reset,Resetovat,,リセットする
datetime.js,datetime.this-month,This month,Tento měsíc,,今月
datetime.js,datetime.today,Today,Dnes,,今日
datetime.js,datetime.week,Week,Týden,,週間
dialog.js,dialog.contents,Contents of,Obsah souboru,,の内容
dialog.js,dialog.are-you-sure-remove-sla,Are you sure you want to remove the {name} SLA?,"Jste si jistí, že chcete odstranit SLA {name}?",,{name} SLAを削除してもよろしいですか？
dialog.js,dialog.please-confirm-action,Please confirm your action,Prosím potvrďte svou volbu,,アクションを確認してください
dropdown.js,1 hour band,1 hour band,Období 1h,,1時間帯
dropdown.js,4 hour band,4 hour band,Období 4h,,4時間帯
dropdown.js,24 hour band,24 hour band,Období 24h,,24時間帯
dropdown.js,active,Active,Aktivní,,アクティブ
dropdown.js,active_calls,Active Calls,Aktivní volání,,アクティブコール
dropdown.js,author,Author,Autor,,著者
dropdown.js,autostart,Autostart,Automatický start,,自動スタート
dropdown.js,class_based,Class Based,Založené na třídách,,クラスベース
dropdown.js,config,Config,Konfigurace,,構成
dropdown.js,created,Created,Vytvořeno,,作成した
dropdown.js,db_active,DB Active,DB aktivní,,DBアクティブ
dropdown.js,deprecated,Deprecated,Zastaralé,,非推奨
dropdown.js,desc,Description,Popis,,説明
dropdown.js,description,Description,Popis,,説明
dropdown.js,enabled,Enabled,Povoleno,,有効化
dropdown.js,exec_count,Exec Count,Počet spuštění,,実行カウント
dropdown.js,expiry_date,Expiry Date,Čas vypršení,,有効期限
dropdown.js,host,Host,Hostitel,,ホスト
dropdown.js,id,ID,ID,,ID
dropdown.js,loaded,Loaded,Nahráno,,ロード済み
dropdown.js,manual_autostart,Manual Autostart,Manuální automatický start,,手動自動起動
dropdown.js,modified,Modified,Změněno,,修正済み
dropdown.js,name,Name,Název,,名前
dropdown.js,open,Open,Otevřeno,,開いた
dropdown.js,remote,Remote,Vzdálené,,リモート
dropdown.js,sla_threshold,SLA Threshold,Hranice SLA,,SLAしきい値
dropdown.js,status,Status,Stav,,状態
dropdown.js,threads,Threads,Vlákna,,スレッド
dropdown.js,type,Type,Typ,,タイプ
dropdown.js,version,Version,Verze,,版
dropdown.js,waiting_threads,Waiting Threads,Čekající vlákna,,待機スレッド
dropdown.js,dropdown.ascending,Ascending,Vzestupně,,上昇
dropdown.js,dropdown.date,Date,Datum,,日付
dropdown.js,dropdown.deprecated,Deprecated,Zastaralé,,非推奨
dropdown.js,dropdown.descending,Descending,Sestupně,,降順
dropdown.js,dropdown.filter,Filter,Filtrovat,,フィルタ
dropdown.js,dropdown.latest,Latest,Nejnovější,,最新
dropdown.js,dropdown.name,Name,Název,,名前
dropdown.js,dropdown.please-select,Please select,Prosím vyberte,,選んでください
dropdown.js,dropdown.running,Running,Běžící,,ランニング
dropdown.js,dropdown.sort-by,Sort by,Seřadit podle,,並び替え
dropdown.js,dropdown.sort-direction,Sort direction,Směr řazení,,並べ替え方向
global.js,Alerts,Alerts,Poplachy,,アラート
global.js,Cache,Cache,Cache,,キャッシュ
global.js,Cluster,Cluster,Cluster,,集まる
global.js,Config Items,Config Items,Konfigurační položky,,
global.js,Connections,Connections,Připojení,,接続
global.js,Dashboard,Dashboard,Uživatelská konzole,,ダッシュボード
global.js,Errors,Errors,Chyby,,エラー
global.js,Extensions,Extensions,Rozšíření,,
global.js,Global,Global,Globální,,グローバル
global.js,Groups,Groups,Skupiny,,グループ
global.js,HTTP Services,HTTP Services,HTTP Služby,,HTTPサービス
global.js,Info,Info,Info,,情報
global.js,Jobs,Jobs,Úkoly,,仕事
global.js,Library,Library,Knihovna,,
global.js,Logs,Logs,Záznamy,,
global.js,More,More,Více,,もっと
global.js,OCMD,OCMD,Příkazová řádka,,
global.js,Options,Options,Nastavení,,オプション
global.js,Order Stats,Order Stats,Statistiky objednávek,,注文統計
global.js,Properties,Properties,Vlastnosti,,物性
global.js,RBAC,RBAC,Nastavení přístupů a rolí,,
global.js,Releases,Releases,Verze,,リリース
global.js,Search,Search,Hledání,,
global.js,Services,Services,Služby,,サービス
global.js,SLAs,SLAs,SLA,,SLA
global.js,System,System,Systém,,
global.js,Valuemaps,Valuemaps,Mapy hodnot,,バリューマップ
global.js,Workflows,Workflows,Pracovní postupy,,ワークフロー
global.js,global.collapse,Collapse,Skrýt,,崩壊
global.js,global.copy-table,Copy table,Zkopírujte si tabulku,,テーブルをコピー
global.js,global.enabled,Enabled,Zapnuto,,有効化
global.js,global.help,Help,Nápověda,,助けて
global.js,global.instances,Instances,Instance,,インスタンス
global.js,global.mappers,Mappers,Mappery,,マッパー
global.js,global.permissions,Permissions,Povolení,,許可
global.js,global.report-bug,Report Bug,Nahlásit chybu,,バグを報告
global.js,global.schema,Schema,Schéma,,スキーマ
global.js,global.show-all,Show all,Zobrazit všechno,,すべて表示する
global.js,global.show-more,Show more,Zobrazit víc,,もっと見せる
global.js,global.total,total,celkem,,合計
global.js,global.user-connection,User,Uživatelské připojení,,ユーザー
global.js,global.version,Version,Verze,,版
global.js,global.vmaps,Vmaps,Vmapy,,Vmap
global.js,global.warning,Warning!,Varování!,,警告！
global.js,global.in-workflows,Workflows,Pracovnich postupech,,ワークフロー
logger.js,logger.additivity,Additivity,Aditivita,,加算性
logger.js,logger.appender-type,Appender type,Typ appenderu,,アペンダータイプ
logger.js,logger.archive-pattern,Archive pattern,Vzorec pro archivování,,アーカイブパターン
logger.js,logger.encoding,Encoding,Kódování,,エンコーディング
logger.js,logger.filename,Filename,Název souboru,,ファイル名
logger.js,logger.layout-pattern,Layout Pattern,Vzorec rozložení,,レイアウトパターン
logger.js,logger.level,Level,Úroveň,,レベル
logger.js,logger.name,Name,Název,,名前
logger.js,logger.rotation-count,Rotation count,Počet rotací,,回転数
order.js,order.async-waiting,Async-Waiting,Čeká na asynch. krok,,非同期待機
order.js,order.block,Block,Zablokovat,,ブロック
order.js,order.blocked,Blocked,Zablokováno,,ブロックされました
order.js,order.blocking,Blocking,Blokuje se,,ブロッキング
order.js,order.cancel,Cancel,Zrušit,,キャンセル
order.js,order.canceled,Canceled,Zrušeno,,キャンセル
order.js,order.canceling,Canceling,Ruší se,,キャンセル中
